b'id',b'key',b'value',b'type'
b'26374433',b'created_by',b'JOSM',b'regular'
b'26850030',b'highway',b'traffic_signals',b'regular'
b'30677855',b'highway',b'motorway_junction',b'regular'
b'30677855',b'noref',b'yes',b'regular'
b'30677855',b'source',b'http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twoeightynorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twoeightysouth.pdf',b'regular'
b'31053150',b'highway',b'motorway_junction',b'regular'
b'31053150',b'ref',b'22',b'regular'
b'31053150',b'source',b'http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twoeightynorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twoeightysouth.pdf',b'regular'
b'65355545',b'highway',b'crossing',b'regular'
b'65355582',b'highway',b'crossing',b'regular'
b'65362181',b'highway',b'motorway_junction',b'regular'
b'65362181',b'noref',b'yes',b'regular'
b'65377800',b'highway',b'priority',b'regular'
b'65377807',b'highway',b'stop',b'regular'
b'65377807',b'stop',b'all',b'regular'
b'65377812',b'highway',b'stop',b'regular'
b'65377812',b'stop',b'all',b'regular'
b'65377844',b'highway',b'stop',b'regular'
b'65377844',b'stop',b'all',b'regular'
b'65377846',b'highway',b'priority',b'regular'
b'65377853',b'highway',b'stop',b'regular'
b'65377853',b'stop',b'all',b'regular'
b'65377858',b'highway',b'stop',b'regular'
b'65377858',b'stop',b'all',b'regular'
b'65377868',b'highway',b'stop',b'regular'
b'65377868',b'stop',b'all',b'regular'
b'65381229',b'direction',b'forward',b'regular'
b'65381229',b'highway',b'stop',b'regular'
b'65381229',b'traffic_sign',b'stop',b'regular'
b'65383166',b'crossing',b'uncontrolled',b'regular'
b'65383166',b'highway',b'crossing',b'regular'
b'65383166',b'kerb',b'lowered',b'regular'
b'65385508',b'direction',b'backward',b'regular'
b'65385508',b'highway',b'stop',b'regular'
b'65385508',b'source',b'bing;survey',b'regular'
b'65385508',b'stop',b'minor',b'regular'
b'65385508',b'traffic_sign',b'stop',b'regular'
b'65385765',b'highway',b'traffic_signals',b'regular'
b'65389401',b'highway',b'turning_circle',b'regular'
b'65390938',b'highway',b'traffic_signals',b'regular'
b'65392280',b'highway',b'priority',b'regular'
b'65392950',b'highway',b'turning_circle',b'regular'
b'65393872',b'highway',b'turning_circle',b'regular'
b'65393929',b'highway',b'turning_circle',b'regular'
b'65393966',b'highway',b'stop',b'regular'
b'65393966',b'stop',b'all',b'regular'
b'65395426',b'highway',b'motorway_junction',b'regular'
b'65395426',b'noref',b'yes',b'regular'
b'65397082',b'crossing',b'uncontrolled',b'regular'
b'65397082',b'highway',b'crossing',b'regular'
b'65397082',b'kerb',b'lowered',b'regular'
b'65397265',b'highway',b'turning_circle',b'regular'
b'65399865',b'highway',b'turning_circle',b'regular'
b'65399876',b'highway',b'turning_circle',b'regular'
b'65399917',b'source',b'tiger_import_dch_v0.6_20070809',b'regular'
b'65400440',b'highway',b'turning_circle',b'regular'
b'65400446',b'highway',b'turning_circle',b'regular'
b'65400579',b'highway',b'motorway_junction',b'regular'
b'65400579',b'noref',b'yes',b'regular'
b'65400600',b'highway',b'motorway_junction',b'regular'
b'65400600',b'noref',b'yes',b'regular'
b'65402092',b'highway',b'stop',b'regular'
b'65402092',b'stop',b'all',b'regular'
b'65402102',b'highway',b'stop',b'regular'
b'65402102',b'stop',b'all',b'regular'
b'65403487',b'highway',b'turning_circle',b'regular'
b'65403495',b'highway',b'turning_circle',b'regular'
b'65404378',b'crossing',b'uncontrolled',b'regular'
b'65404378',b'highway',b'crossing',b'regular'
b'65404378',b'kerb',b'lowered',b'regular'
b'65405002',b'highway',b'motorway_junction',b'regular'
b'65407487',b'highway',b'stop',b'regular'
b'65407487',b'stop',b'all',b'regular'
b'65407488',b'highway',b'stop',b'regular'
b'65407488',b'stop',b'all',b'regular'
b'65408695',b'highway',b'priority',b'regular'
b'65408703',b'bus',b'yes',b'regular'
b'65408703',b'name',b'Palo Alto Transit Center',b'regular'
b'65408703',b'network',b'Marguerite',b'regular'
b'65408703',b'public_transport',b'stop_position',b'regular'
b'65408703',b'ref',b'66',b'regular'
b'65408711',b'highway',b'priority',b'regular'
b'65408714',b'bus',b'yes',b'regular'
b'65408714',b'name',b'Palo Alto Caltrain Platform South',b'regular'
b'65408714',b'network',b'Marguerite',b'regular'
b'65408714',b'operator',b'Stanford University',b'regular'
b'65408714',b'public_transport',b'stop_position',b'regular'
b'65409526',b'railway',b'switch',b'regular'
b'65409528',b'barrier',b'full',b'crossing'
b'65409528',b'bell',b'yes',b'crossing'
b'65409528',b'railway',b'level_crossing',b'regular'
b'65409548',b'name',b'Atherton',b'regular'
b'65409548',b'network',b'Caltrain',b'regular'
b'65409548',b'operator',b'Peninsula Corridor Joint Powers Board',b'regular'
b'65409548',b'public_transport',b'stop_position',b'regular'
b'65409548',b'railway',b'stop',b'regular'
b'65409548',b'train',b'yes',b'regular'
b'65416433',b'highway',b'turning_circle',b'regular'
b'65417068',b'highway',b'priority',b'regular'
b'65417589',b'highway',b'stop',b'regular'
b'65417589',b'stop',b'all',b'regular'
b'65417590',b'highway',b'stop',b'regular'
b'65417590',b'stop',b'all',b'regular'
b'65417616',b'highway',b'stop',b'regular'
b'65417616',b'stop',b'all',b'regular'
b'65418724',b'highway',b'turning_circle',b'regular'
b'65419343',b'direction',b'both',b'regular'
b'65419343',b'highway',b'stop',b'regular'
b'65419356',b'direction',b'both',b'regular'
b'65419356',b'highway',b'stop',b'regular'
b'65419370',b'direction',b'both',b'regular'
b'65419370',b'highway',b'stop',b'regular'
b'65421180',b'highway',b'stop',b'regular'
b'65421180',b'stop',b'all',b'regular'
b'65421602',b'highway',b'traffic_signals',b'regular'
b'65421606',b'highway',b'turning_circle',b'regular'
b'65422651',b'highway',b'turning_circle',b'regular'
b'65422955',b'crossing',b'uncontrolled',b'regular'
b'65422955',b'crossing_ref',b'zebra',b'regular'
b'65422955',b'highway',b'crossing',b'regular'
b'65422967',b'highway',b'stop',b'regular'
b'65422967',b'stop',b'all',b'regular'
b'65422972',b'highway',b'stop',b'regular'
